metriculation,Degree,Year,Class1,C1G1,C1G2,C1G3,C1EQ1,C1EQ2,C1EQ3,Class2,C2G1,C2G2,C2G3,C2EQ1,C2EQ2,C2EQ3
4442282,ES,4,COMPSCI4444,56,89,12,54,53,92,COMPSCI8888,53,4,3,15,100,23
2142784,ES,1,COMPSCI4444,71,80,75,76,18,85,COMPSCI6666,5,68,76,73,89,96
7234156,SE,4,COMPSCI4444,39,48,12,99,41,32,COMPSCI5555,36,44,40,44,67,80
7589572,ES,1,COMPSCI3333,100,7,59,36,38,22,COMPSCI8888,21,45,67,46,96,78
3957603,ES,1,COMPSCI2222,68,16,16,71,90,39,COMPSCI7777,22,5,71,86,63,29
8628618,CH,1,COMPSCI1111,33,19,81,74,82,25,COMPSCI8888,29,76,12,37,78,3
7318496,ES,1,COMPSCI4444,63,32,38,87,97,79,COMPSCI8888,12,65,33,83,18,98
8707357,ES,4,COMPSCI1111,25,73,81,36,58,83,COMPSCI7777,38,58,65,36,37,44
3972143,IN,2,COMPSCI1111,73,78,75,76,42,46,COMPSCI5555,73,98,26,54,99,89
7602285,ES,1,COMPSCI4444,95,29,32,38,30,99,COMPSCI8888,78,37,45,32,72,4
9052922,CH,4,COMPSCI3333,90,41,50,82,13,74,COMPSCI5555,38,71,35,3,22,21
1955311,IN,1,COMPSCI2222,85,33,86,38,5,21,COMPSCI5555,62,45,41,79,76,98
4721802,ES,1,COMPSCI3333,59,26,42,23,85,19,COMPSCI6666,12,76,28,47,14,71
5995227,SE,4,COMPSCI4444,68,42,41,3,63,40,COMPSCI7777,2,47,52,69,37,74
1487960,ES,2,COMPSCI3333,80,19,9,71,6,80,COMPSCI8888,1,99,1,49,35,52
6488010,ES,2,COMPSCI3333,80,77,32,7,61,96,COMPSCI8888,6,18,19,77,79,4
4576092,ES,2,COMPSCI4444,15,20,6,48,92,24,COMPSCI7777,42,40,19,4,53,75
2360606,ES,2,COMPSCI4444,67,69,4,63,13,37,COMPSCI8888,20,72,53,32,60,86
4382716,ES,1,COMPSCI4444,98,86,30,73,82,39,COMPSCI7777,78,90,54,27,93,87
9212881,CH,4,COMPSCI3333,65,23,25,48,16,41,COMPSCI8888,12,31,82,37,67,90
1594749,ES,1,COMPSCI3333,36,70,21,65,57,48,COMPSCI8888,60,40,100,26,46,49
9153391,SE,2,COMPSCI3333,98,56,35,83,32,99,COMPSCI7777,72,13,90,8,69,72
6670339,ES,3,COMPSCI4444,70,72,63,52,32,19,COMPSCI5555,50,29,59,57,66,51
2347879,IN,1,COMPSCI4444,88,65,4,70,4,28,COMPSCI8888,70,56,98,41,81,10
7668375,ES,3,COMPSCI4444,78,42,21,8,39,26,COMPSCI8888,7,26,61,41,85,28
7959213,CH,1,COMPSCI4444,32,47,85,97,75,86,COMPSCI8888,79,72,1,23,74,41
2097203,ES,1,COMPSCI4444,3,9,10,73,27,98,COMPSCI8888,91,50,46,39,52,31
2723869,IN,1,COMPSCI4444,39,62,74,12,64,3,COMPSCI8888,86,36,79,71,28,7
8835384,CH,1,COMPSCI4444,64,24,46,10,77,55,COMPSCI8888,25,76,59,59,77,15
7139566,ES,1,COMPSCI4444,73,81,10,100,91,47,COMPSCI8888,53,12,48,10,12,42
4579846,IN,4,COMPSCI4444,43,87,99,11,39,79,COMPSCI8888,53,47,7,53,68,6
8649062,CS,1,COMPSCI1111,56,17,33,79,50,87,COMPSCI7777,78,15,69,78,22,27
6026157,ES,2,COMPSCI4444,46,34,22,49,19,24,COMPSCI8888,67,8,37,25,27,71
8403687,ES,3,COMPSCI4444,30,40,68,5,47,27,COMPSCI7777,86,23,100,45,11,90
9893611,IN,1,COMPSCI3333,3,12,84,6,61,22,COMPSCI8888,65,13,46,61,35,100
2019522,ES,1,COMPSCI2222,92,8,61,23,57,42,COMPSCI8888,98,66,71,48,49,71
8562699,IN,2,COMPSCI4444,35,25,40,30,51,14,COMPSCI8888,76,86,37,8,59,29
4329804,IN,2,COMPSCI2222,29,91,19,93,1,13,COMPSCI8888,64,1,87,73,58,74
2991269,ES,1,COMPSCI4444,88,48,94,100,46,93,COMPSCI8888,99,61,61,2,20,47
9311408,CH,2,COMPSCI4444,53,91,68,46,7,25,COMPSCI8888,15,82,72,4,45,44
9827158,ES,4,COMPSCI1111,49,68,2,84,65,69,COMPSCI8888,83,47,55,1,98,11
3149791,ES,4,COMPSCI4444,65,41,61,8,76,73,COMPSCI7777,17,20,57,95,90,38
1586942,CS,3,COMPSCI2222,40,64,83,10,20,16,COMPSCI8888,2,80,31,47,39,70
6825644,ES,2,COMPSCI3333,96,42,5,94,41,80,COMPSCI7777,9,34,41,46,2,85
3687460,ES,1,COMPSCI3333,100,86,68,61,63,78,COMPSCI6666,13,96,91,59,32,34
3593874,IN,2,COMPSCI1111,84,33,57,17,26,38,COMPSCI8888,71,66,38,65,29,24
1932287,ES,1,COMPSCI4444,59,63,4,7,6,79,COMPSCI8888,37,51,43,66,6,44
4208605,CH,1,COMPSCI4444,38,19,45,63,23,74,COMPSCI5555,69,40,7,78,54,3
6138379,CH,1,COMPSCI3333,78,76,63,32,83,29,COMPSCI7777,72,93,37,92,37,76
7644816,IN,3,COMPSCI3333,90,3,97,68,35,81,COMPSCI8888,67,75,99,2,17,12
